ts,iso,open,high,low,close,vol
1748141100000,2025-05-25T02:45:00.000Z,2500.99,2510.49,2500.61,2508.07,526.8421543
1748142000000,2025-05-25T03:00:00.000Z,2508.06,2514.95,2506.97,2513.33,657.7080853
1748142900000,2025-05-25T03:15:00.000Z,2513.71,2515.09,2509.86,2513.35,575.7690323
1748143800000,2025-05-25T03:30:00.000Z,2513.36,2520.27,2513.36,2516.65,716.9678685
1748144700000,2025-05-25T03:45:00.000Z,2516.65,2518.46,2512.48,2513.16,632.3011847
1748145600000,2025-05-25T04:00:00.000Z,2512.9,2513.07,2505.64,2507.26,490.2277978
1748146500000,2025-05-25T04:15:00.000Z,2506.68,2512.67,2505.96,2510.78,335.1191381
1748147400000,2025-05-25T04:30:00.000Z,2511.2,2516.34,2510.17,2515.04,351.0531165
1748148300000,2025-05-25T04:45:00.000Z,2515.04,2518.51,2512.63,2517.45,259.835276
1748149200000,2025-05-25T05:00:00.000Z,2517.44,2518.64,2512.34,2512.34,280.7535453
1748150100000,2025-05-25T05:15:00.000Z,2512.6,2515.69,2510.8,2511.78,384.9413758
1748151000000,2025-05-25T05:30:00.000Z,2511.94,2514.09,2507.17,2509.27,277.1470803
1748151900000,2025-05-25T05:45:00.000Z,2509.27,2514.42,2507.75,2512.42,204.8913399
1748152800000,2025-05-25T06:00:00.000Z,2512.42,2513.41,2507.95,2508.36,190.4973518
1748153700000,2025-05-25T06:15:00.000Z,2508.35,2509.72,2502.16,2505.2,364.4230479
1748154600000,2025-05-25T06:30:00.000Z,2504.75,2506.83,2502.25,2504.76,264.2197144
1748155500000,2025-05-25T06:45:00.000Z,2504.61,2509.33,2503.17,2507.38,398.3925521
1748156400000,2025-05-25T07:00:00.000Z,2507.23,2507.23,2496.27,2496.78,482.3878221
1748157300000,2025-05-25T07:15:00.000Z,2496.67,2500.48,2489.58,2492.4,898.3607658
1748158200000,2025-05-25T07:30:00.000Z,2492.07,2496.06,2487.41,2492.67,649.2074991
1748159100000,2025-05-25T07:45:00.000Z,2492.68,2495.82,2489.08,2493.99,338.488158
1748160000000,2025-05-25T08:00:00.000Z,2494.12,2494.21,2482.38,2483.62,838.8471775
1748160900000,2025-05-25T08:15:00.000Z,2483.09,2489.23,2479.41,2484.97,1040.7300989
1748161800000,2025-05-25T08:30:00.000Z,2484.93,2490.23,2483.13,2485.94,793.3330138
1748162700000,2025-05-25T08:45:00.000Z,2485.94,2486.17,2462.76,2477.55,1928.6648555
1748163600000,2025-05-25T09:00:00.000Z,2477.54,2483.25,2472.24,2480.41,871.31986393
1748164500000,2025-05-25T09:15:00.000Z,2480.42,2486.56,2474.28,2483.85,760.8199677
1748165400000,2025-05-25T09:30:00.000Z,2483.98,2485.78,2475.53,2483.21,784.3356872
1748166300000,2025-05-25T09:45:00.000Z,2483.46,2495.64,2483.22,2495.09,926.9015139
1748167200000,2025-05-25T10:00:00.000Z,2495.33,2501.98,2491.64,2496.77,805.5992423
1748168100000,2025-05-25T10:15:00.000Z,2497.35,2499.12,2492.71,2492.74,468.9266721
1748169000000,2025-05-25T10:30:00.000Z,2493.18,2499.86,2493.18,2495.77,349.1628237
1748169900000,2025-05-25T10:45:00.000Z,2495.77,2500.86,2488.43,2492.16,676.0818059
1748170800000,2025-05-25T11:00:00.000Z,2492.16,2499.1,2488.22,2498.84,699.8825663
1748171700000,2025-05-25T11:15:00.000Z,2498.89,2499.97,2493.78,2497.02,419.9634869
1748172600000,2025-05-25T11:30:00.000Z,2497.02,2498.59,2492.57,2493.72,409.1057609
1748173500000,2025-05-25T11:45:00.000Z,2494.1,2498.25,2491.61,2497.78,330.1770865
1748174400000,2025-05-25T12:00:00.000Z,2497.67,2499.74,2494.89,2499.45,528.4197291
1748175300000,2025-05-25T12:15:00.000Z,2499.72,2516.53,2499.72,2514.97,1497.3262123
1748176200000,2025-05-25T12:30:00.000Z,2514.37,2517.57,2511.55,2513.6,885.436637
1748177100000,2025-05-25T12:45:00.000Z,2514.23,2517.6,2512.24,2516.84,607.8324702
1748178000000,2025-05-25T13:00:00.000Z,2516.84,2520.5,2510.97,2513.76,749.9111727
1748178900000,2025-05-25T13:15:00.000Z,2513.72,2520.07,2511.33,2519.66,620.1039468
1748179800000,2025-05-25T13:30:00.000Z,2519.76,2524.68,2516.26,2518.78,717.6184081
1748180700000,2025-05-25T13:45:00.000Z,2518.59,2520.97,2513.15,2513.63,684.4901767
1748181600000,2025-05-25T14:00:00.000Z,2513.4,2518,2508,2514.78,369.03607032
1748182500000,2025-05-25T14:15:00.000Z,2514.7,2515.75,2510.27,2515.44,503.7500155
1748183400000,2025-05-25T14:30:00.000Z,2515.44,2517.01,2502.45,2502.95,896.7270836
1748184300000,2025-05-25T14:45:00.000Z,2502.95,2507.8,2497.88,2506.04,696.9786774
1748185200000,2025-05-25T15:00:00.000Z,2506.05,2508.13,2496.36,2498.25,884.8094773
1748186100000,2025-05-25T15:15:00.000Z,2498.24,2499.78,2479.15,2488.8,1510.13294805
1748187000000,2025-05-25T15:30:00.000Z,2489.07,2508.61,2486.19,2504.35,1288.6591368
1748187900000,2025-05-25T15:45:00.000Z,2504.67,2515.25,2497.75,2511.44,1135.09317963
1748188800000,2025-05-25T16:00:00.000Z,2511.74,2513.52,2503.74,2507.3,971.9221086
1748189700000,2025-05-25T16:15:00.000Z,2507.43,2507.96,2496.58,2498.67,848.7203938
1748190600000,2025-05-25T16:30:00.000Z,2498.88,2510.97,2496.46,2507.99,657.356964
1748191500000,2025-05-25T16:45:00.000Z,2508.35,2513.37,2507.49,2511.73,472.2577914
1748192400000,2025-05-25T17:00:00.000Z,2511.73,2515.69,2510.62,2512.14,469.4463115
1748193300000,2025-05-25T17:15:00.000Z,2512.54,2516.75,2508.98,2516.63,552.287154
1748194200000,2025-05-25T17:30:00.000Z,2516.75,2516.76,2508.93,2512.04,267.0455238
1748195100000,2025-05-25T17:45:00.000Z,2512.04,2514.89,2512.03,2513.64,185.8966029
1748196000000,2025-05-25T18:00:00.000Z,2513.75,2517.75,2511.22,2517.33,449.7736717
1748196900000,2025-05-25T18:15:00.000Z,2517.33,2523.03,2514.58,2520.93,437.3524428
1748197800000,2025-05-25T18:30:00.000Z,2521.22,2521.48,2515.7,2516.85,355.0963641
1748198700000,2025-05-25T18:45:00.000Z,2516.85,2518.92,2514.81,2516.02,248.0382658
1748199600000,2025-05-25T19:00:00.000Z,2516.01,2518.09,2514.72,2515.94,278.045038
1748200500000,2025-05-25T19:15:00.000Z,2515.93,2521.37,2515.93,2521.22,231.037517
1748201400000,2025-05-25T19:30:00.000Z,2521,2525.22,2520.79,2521.96,336.3906441
1748202300000,2025-05-25T19:45:00.000Z,2521.96,2535.66,2520.33,2526.85,858.6205679
1748203200000,2025-05-25T20:00:00.000Z,2526.55,2528.84,2517.52,2518.16,563.4603104
1748204100000,2025-05-25T20:15:00.000Z,2518.41,2521.65,2511.43,2521.14,592.0577362
1748205000000,2025-05-25T20:30:00.000Z,2521.19,2526.16,2520.51,2526.04,491.6696053
1748205900000,2025-05-25T20:45:00.000Z,2525.25,2525.25,2520.65,2524.1,239.233094
1748206800000,2025-05-25T21:00:00.000Z,2523.89,2531.12,2523.17,2530.93,773.523885
1748207700000,2025-05-25T21:15:00.000Z,2531.12,2531.36,2520.01,2521.31,460.9128683
1748208600000,2025-05-25T21:30:00.000Z,2521.31,2521.44,2507.47,2516.72,560.70449462
1748209500000,2025-05-25T21:45:00.000Z,2516.99,2520.87,2513.9,2515.07,250.3204472
1748210400000,2025-05-25T22:00:00.000Z,2515.17,2548.75,2512.65,2533.71,1819.1194316
1748211300000,2025-05-25T22:15:00.000Z,2534.21,2543.16,2531.79,2535.72,1071.4644697
1748212200000,2025-05-25T22:30:00.000Z,2536.02,2547.71,2534.39,2546.64,980.3334519
1748213100000,2025-05-25T22:45:00.000Z,2546.3,2554.02,2542.52,2549.66,927.8812404
1748214000000,2025-05-25T23:00:00.000Z,2549.35,2552.2,2543.47,2544.19,923.0582061
1748214900000,2025-05-25T23:15:00.000Z,2544.41,2544.41,2535.13,2538.91,729.4458201
1748215800000,2025-05-25T23:30:00.000Z,2538.63,2548.2,2537.47,2547.14,383.8691397
1748216700000,2025-05-25T23:45:00.000Z,2547.79,2553.99,2543.66,2551.23,473.3141641
1748217600000,2025-05-26T00:00:00.000Z,2551.23,2558.47,2547.99,2547.99,1308.439626
1748218500000,2025-05-26T00:15:00.000Z,2548,2557.29,2536.79,2545.3,1060.7813782
1748219400000,2025-05-26T00:30:00.000Z,2545.81,2560.04,2543.23,2556.25,804.8461998
1748220300000,2025-05-26T00:45:00.000Z,2556.25,2574.4,2553.42,2571.69,1548.2164517
1748221200000,2025-05-26T01:00:00.000Z,2571.57,2577.02,2558.53,2560.01,1048.1186767
1748222100000,2025-05-26T01:15:00.000Z,2560.16,2564.04,2556.1,2558.8,612.5814341
1748223000000,2025-05-26T01:30:00.000Z,2559.05,2566.7,2555.11,2563.73,601.27263759
1748223900000,2025-05-26T01:45:00.000Z,2563.79,2567.45,2555.92,2558.65,618.1232194
1748224800000,2025-05-26T02:00:00.000Z,2558.96,2561.06,2552,2554.74,546.1023719
1748225700000,2025-05-26T02:15:00.000Z,2554.74,2564.4,2552.7,2561.49,689.42374586
1748226600000,2025-05-26T02:30:00.000Z,2561.06,2561.5,2548.69,2551.92,726.9159664
1748227500000,2025-05-26T02:45:00.000Z,2551.93,2554.85,2547.7,2553,347.3693405
1748228400000,2025-05-26T03:00:00.000Z,2552.95,2553.74,2548.92,2551.25,426.4192098
1748229300000,2025-05-26T03:15:00.000Z,2550.98,2560.7,2549.68,2560.08,449.1224486
1748230200000,2025-05-26T03:30:00.000Z,2560.08,2563.87,2555.85,2561.67,411.5496283
1748231100000,2025-05-26T03:45:00.000Z,2561.68,2566.63,2559.5,2560.35,321.0344803
1748232000000,2025-05-26T04:00:00.000Z,2560.34,2564.23,2557.48,2559.44,244.1949593
1748232900000,2025-05-26T04:15:00.000Z,2559.84,2566.29,2558.61,2564.52,542.4215424
1748233800000,2025-05-26T04:30:00.000Z,2564.31,2566.91,2563.54,2565.6,223.8751845
1748234700000,2025-05-26T04:45:00.000Z,2565.6,2569.93,2563.78,2564.57,379.1002949
1748235600000,2025-05-26T05:00:00.000Z,2564.57,2566.23,2561.65,2562.96,264.1885244
1748236500000,2025-05-26T05:15:00.000Z,2563.46,2572.05,2562.81,2570.51,305.8171667
1748237400000,2025-05-26T05:30:00.000Z,2570.34,2575.39,2567.91,2568.06,442.0085716
1748238300000,2025-05-26T05:45:00.000Z,2568.29,2571.53,2567.75,2568.54,211.7840968
1748239200000,2025-05-26T06:00:00.000Z,2568.54,2572.2,2565.63,2567.77,335.341779
1748240100000,2025-05-26T06:15:00.000Z,2567.15,2573.04,2567.15,2572.18,362.4781001
1748241000000,2025-05-26T06:30:00.000Z,2572.17,2572.17,2567.3,2570.05,396.3817878
